store_name,department,category,item,description,qty_sold,sold_price,total_sales
ALBROOK MALL,VIDEO JUEGO,PLAYSTATION 3 - PS3 ,887256301156,Just Dance 2015 PS3,1,39.99,39.99
ALBROOK MALL,VIDEO JUEGO,PLAYSTATION 3 - PS3 ,722674111607,F1 2014 PS3,1,39.99,39.99
ALBROOK MALL,VIDEO JUEGO,PLAYSTATION 3 - PS3 ,883929474080,Lego marvel avengers PS3,1,59.99,59.99
ALBROOK MALL,VIDEO JUEGO,PLAYSTATION 3 - PS3 ,83717203087,PES 16-PS3,1,39.99,39.99
ALBROOK MALL,VIDEO JUEGO,NINTENDO DS,712725023508,Disney Planes DS,1,19.99,19.99
ALBROOK MALL,VIDEO JUEGO,XBOX 360,47875874855,GH Software + Guitar X360,1,129.99,129.99
ALBROOK MALL,VIDEO JUEGO,NINTENDO 3DS,45496742928,Pokemon Omega Ruby 3DS,1,49.99,49.99
ALBROOK MALL,VIDEO JUEGO,NINTENDO 3DS,45496742904,Super Smash Bros 3DS,1,49.99,49.99
ALBROOK MALL,VIDEO JUEGO,NINTENDO 3DS,45496741747,Mario Kart 7 3DS,1,39.99,39.99
ALBROOK MALL,VIDEO JUEGO,NINTENDO 3DS,45496743598,Mario & Luigi: Paper Jam 3DS,1,49.99,49.99
ALBROOK MALL,VIDEO JUEGO,NINTENDO 3DS,45496743598,Mario & Luigi: Paper Jam 3DS,1,49.99,49.99
ALBROOK MALL,VIDEO JUEGO,NINTENDO 3DS,13388305193,Monster Hunter 4 Ultimate 3DS,1,49.99,49.99
ALBROOK MALL,VIDEO JUEGO,NINTENDO 3DS,712725020422,Cars 2 3DS,1,29.99,29.99
ALBROOK MALL,VIDEO JUEGO,NINTENDO 3DS,45496742904,Super Smash Bros 3DS,1,49.99,49.99
ALBROOK MALL,VIDEO JUEGO,NINTENDO 3DS,45496742317,Lego city Undercover SEL 3DS,1,29.99,29.99
ALBROOK MALL,VIDEO JUEGO,NINTENDO 3DS,45496741747,Mario Kart 7 3DS,1,39.99,39.99
ALBROOK MALL,VIDEO JUEGO,NINTENDO 3DS,45496742072,New Super Mario Bros 2 3DS,1,37.91,37.91
ALBROOK MALL,VIDEO JUEGO,NINTENDO 3DS,45496741747,Mario Kart 7 3DS,1,39.99,39.99
ALBROOK MALL,VIDEO JUEGO,NINTENDO 3DS,45496742805,Zelda Majora´s Mask 3DS,1,49.99,49.99
ALBROOK MALL,CONSOLAS,NINTENDO 3DS,45496781866,NINTENDO NEW 3DSXL Hyrule edit,1,259.99,259.99
ALBROOK MALL,CONSOLAS,NINTENDO 3DS,45496781866,NINTENDO NEW 3DSXL Hyrule edit,1,259.99,259.99
ALBROOK MALL,VIDEO JUEGO,NINTENDO 3DS,45496743406,Fire Emblem Fates Conquest 3DS,1,49.99,49.99
ALBROOK MALL,VIDEO JUEGO,NINTENDO 3DS,45496743154,Fire Emblem Fates Birth 3DS,1,49.99,49.99
