store_name,department,category,item,description,qty_sold,sold_price,total_sales
METRO MALL,CONSOLAS,PLAYSTATION 4 - PS4,711719502470,PS4 Uncharted Collect Bundle ,1,499.99,499.99
METRO MALL,CONSOLAS,PLAYSTATION 4 - PS4,711719502470,PS4 Uncharted Collect Bundle ,1,499.99,499.99
METRO MALL,CONSOLAS,PLAYSTATION 4 - PS4,711719503040,PS4 Fifa 16 Bundle,1,499.99,499.99
METRO MALL,CONSOLAS,PLAYSTATION 4 - PS4,711719502470,PS4 Uncharted Collect Bundle ,1,499.99,499.99
METRO MALL,CONSOLAS,PLAYSTATION 4 - PS4,711719502470,PS4 Uncharted Collect Bundle ,1,499.99,499.99
METRO MALL,CONSOLAS,PLAYSTATION 4 - PS4,711719502470,PS4 Uncharted Collect Bundle ,1,499.99,499.99
METRO MALL,CONSOLAS,PLAYSTATION 4 - PS4,711719502470,PS4 Uncharted Collect Bundle ,1,399.99,399.99
METRO MALL,CONSOLAS,PLAYSTATION 4 - PS4,711719502470,PS4 Uncharted Collect Bundle ,1,499.99,499.99
METRO MALL,CONSOLAS,PLAYSTATION 4 - PS4,711719502470,PS4 Uncharted Collect Bundle ,1,449.99,449.99
METRO MALL,CONSOLAS,PLAYSTATION 4 - PS4,711719502470,PS4 Uncharted Collect Bundle ,1,399.99,399.99
METRO MALL,CONSOLAS,PLAYSTATION 4 - PS4,711719502470,PS4 Uncharted Collect Bundle ,1,499.99,499.99
METRO MALL,CONSOLAS,PLAYSTATION 4 - PS4,711719502470,PS4 Uncharted Collect Bundle ,1,499.99,499.99
METRO MALL,CONSOLAS,PLAYSTATION 4 - PS4,711719502470,PS4 Uncharted Collect Bundle ,1,499.99,499.99
METRO MALL,CONSOLAS,PLAYSTATION 4 - PS4,711719502470,PS4 Uncharted Collect Bundle ,1,499.99,499.99
 MULTI CENTRO,No data,No data,No data,No data,302,,16946.11
MULTI CENTRO,CONSOLAS,NINTENDO 3DS,45496781330,NINTENDO 3DS XL SNES,1,219.99,219.99
MULTI CENTRO,CONSOLAS,NINTENDO WII U,45496881733,Nintendo Wiiu Mario Kart 8 DL,1,369.99,369.99
MULTI CENTRO,CONSOLAS,NINTENDO WII U,45496881733,Nintendo Wiiu Mario Kart 8 DL,1,369.99,369.99
MULTI CENTRO,CONSOLAS,NINTENDO 3DS,45496781927,NINTENDO NEW 3DSXL Fire Emblem,1,249.99,249.99
MULTI CENTRO,ACCESORIO,TARJETAS,799366552260,PSN $50,2,69.99,139.98
MULTI CENTRO,CONSOLAS,XBOX360,885370862737,Xbox 360 500 GB C.O.D Ghost-BL,1,269.99,269.99
MULTI CENTRO,CONSOLAS,PLAYSTATION 4 - PS4,711719502470,PS4 Uncharted Collect Bundle ,1,449.99,449.99
MULTI CENTRO,CONSOLAS,PLAYSTATION 4 - PS4,711719502470,PS4 Uncharted Collect Bundle ,1,449.99,449.99
MULTI CENTRO,CONSOLAS,PLAYSTATION 4 - PS4,711719502470,PS4 Uncharted Collect Bundle ,1,449.99,449.99
MULTI CENTRO,CONSOLAS,PLAYSTATION 4 - PS4,711719503040,PS4 Fifa 16 Bundle,1,499.99,499.99
 MULTI PLAZA,No data,No data,No data,No data,1523,,87518.78
MULTI PLAZA,CONSOLAS,NINTENDO 3DS,45496781330,NINTENDO 3DS XL SNES,1,219.99,219.99
MULTI PLAZA,CONSOLAS,NINTENDO 3DS,45496781330,NINTENDO 3DS XL SNES,1,219.99,219.99
MULTI PLAZA,CONSOLAS,NINTENDO 3DS,45496781330,NINTENDO 3DS XL SNES,1,219.99,219.99
MULTI PLAZA,CONSOLAS,NINTENDO WII U,45496881733,Nintendo Wiiu Mario Kart 8 DL,1,369.99,369.99
MULTI PLAZA,CONSOLAS,NINTENDO WII U,45496881733,Nintendo Wiiu Mario Kart 8 DL,1,369.99,369.99
MULTI PLAZA,CONSOLAS,NINTENDO WII U,45496881733,Nintendo Wiiu Mario Kart 8 DL,1,369.99,369.99
MULTI PLAZA,CONSOLAS,NINTENDO WII U,45496881733,Nintendo Wiiu Mario Kart 8 DL,1,369.99,369.99
MULTI PLAZA,CONSOLAS,NINTENDO WII U,45496881733,Nintendo Wiiu Mario Kart 8 DL,1,369.99,369.99
MULTI PLAZA,CONSOLAS,NINTENDO WII U,45496881733,Nintendo Wiiu Mario Kart 8 DL,1,369.99,369.99
MULTI PLAZA,CONSOLAS,PS VITA,711719050681,PS Vita 2.0 Borderland 2,1,249.99,249.99
MULTI PLAZA,CONSOLAS,PS VITA,711719050681,PS Vita 2.0 Borderland 2,1,249.99,249.99
MULTI PLAZA,CONSOLAS,XBOX ONE,885370982343,Xbox One Gear Of War 500 GB,1,429.99,429.99
MULTI PLAZA,VIDEO JUEGO,PLAYSTATION 4- PS4,887256014711,Rainbow Six PS4,2,69.99,139.98
MULTI PLAZA,ACCESORIO,TARJETAS,76750020322,iTunes $25,5,26.99,134.95
MULTI PLAZA,ACCESORIO,TARJETAS,799366552260,PSN $50,2,69.99,139.98
MULTI PLAZA,ACCESORIO,TARJETAS,799366552260,PSN $50,2,69.99,139.98
MULTI PLAZA,ACCESORIO,TARJETAS,799366552260,PSN $50,2,69.99,139.98
MULTI PLAZA,ACCESORIO,TARJETAS,799366552260,PSN $50,2,69.99,139.98
MULTI PLAZA,ACCESORIO,TARJETAS,799366552260,PSN $50,3,69.99,209.97
MULTI PLAZA,ACCESORIO,TARJETAS,799366552260,PSN $50,2,69.99,139.98
MULTI PLAZA,VIDEO JUEGO,NINTENDO 3DS,45496741747,Mario Kart 7 3DS,-1,39.99,-39.99
MULTI PLAZA,VIDEO JUEGO,NINTENDO 3DS,45496743284,Animal crossing Happy Home 3DS,-1,49.99,-49.99
MULTI PLAZA,CONSOLAS,NINTENDO 3DS,45496781866,NINTENDO NEW 3DSXL Hyrule edit,1,259.99,259.99
MULTI PLAZA,CONSOLAS,NINTENDO 3DS,45496781514,NINTENDO NEW 3DSXL BLACK,1,249.99,249.99
MULTI PLAZA,CONSOLAS,NINTENDO 3DS,45496781507,NINTENDO NEW 3DSXL RED,1,249.99,249.99
MULTI PLAZA,CONSOLAS,NINTENDO 3DS,45496781866,NINTENDO NEW 3DSXL Hyrule edit,1,259.99,259.99
MULTI PLAZA,CONSOLAS,NINTENDO 3DS,45496781507,NINTENDO NEW 3DSXL RED,1,249.99,249.99
MULTI PLAZA,CONSOLAS,NINTENDO 3DS,45496781866,NINTENDO NEW 3DSXL Hyrule edit,1,259.99,259.99
MULTI PLAZA,CONSOLAS,NINTENDO 3DS,45496781507,NINTENDO NEW 3DSXL RED,1,249.99,249.99
MULTI PLAZA,CONSOLAS,NINTENDO 3DS,45496781866,NINTENDO NEW 3DSXL Hyrule edit,1,259.99,259.99
MULTI PLAZA,CONSOLAS,NINTENDO 3DS,45496781866,NINTENDO NEW 3DSXL Hyrule edit,1,259.99,259.99
MULTI PLAZA,VIDEO JUEGO,NINTENDO 3DS,45496743581,Fire Emblem Fates S.E 3DS,2,89.99,179.98
MULTI PLAZA,ACCESORIO,NINTENDO WIIU,45496891022,Wii U Pro Controller Black,-1,69.99,-69.99
MULTI PLAZA,VIDEO JUEGO,PLAYSTATION 3 - PS3 ,722674110532,Naruto Shippuden Gen PS3,-1,39.99,-39.99
MULTI PLAZA,VIDEO JUEGO,PLAYSTATION 3 - PS3 ,47875874565,COD BLACK OPS III PS3,-1,59.99,-59.99
MULTI PLAZA,VIDEO JUEGO,NINTENDO Wii,45496900397,Super Smash Bros. Brawl - Wii,-1,39.99,-39.99
MULTI PLAZA,VIDEO JUEGO,PLAYSTATION 4- PS4,728658046514,RB Software + Guitar PS4,1,169.99,169.99
MULTI PLAZA,VIDEO JUEGO,PLAYSTATION 4- PS4,710425476570,NBA 2K16 PS4,-1,69.99,-69.99
MULTI PLAZA,VIDEO JUEGO,PLAYSTATION 4- PS4,14633370461,Star Wars Battlefront PS4,-1,69.99,-69.99
MULTI PLAZA,VIDEO JUEGO,PLAYSTATION 4- PS4,662248916514,Dragon Quest Heroes PS4,-1,49.99,-49.99
MULTI PLAZA,ACCESORIO,TARJETAS,799366552260,PSN $50,2,69.99,139.98
MULTI PLAZA,VIDEO JUEGO,PLAYSTATION 4- PS4,47875874602,COD BLACK OPS III PS4,-1,69.99,-69.99
MULTI PLAZA,ACCESORIO,TARJETAS,885370611250,Xbox Live $50,2,69.99,139.98
MULTI PLAZA,ACCESORIO,XBOX ONE,617885011832,Control inala. Star Wars azul,-1,59.99,-59.99
MULTI PLAZA,ACCESORIO,TARJETAS,711719039808,PSN Plus 1 Year,2,69.99,139.98
MULTI PLAZA,CONSOLAS,XBOX ONE,889842020083,Xbox One Fallout 4 1TB,1,479.99,479.99
MULTI PLAZA,CONSOLAS,XBOX ONE,885370951929,Xbox One Halo 5 1TB,1,599.99,599.99
MULTI PLAZA,ACCESORIO,TARJETAS,711719039808,PSN Plus 1 Year,-1,69.99,-69.99
MULTI PLAZA,ACCESORIO,PLAYSTATION 4 - PS4,711719039617,Dualshock 4 Rojo - PS4,-1,69.99,-69.99
MULTI PLAZA,CONSOLAS,PLAYSTATION 4 - PS4,711719502470,PS4 Uncharted Collect Bundle ,1,399.99,399.99
MULTI PLAZA,CONSOLAS,PLAYSTATION 4 - PS4,711719503040,PS4 Fifa 16 Bundle,1,499.99,499.99
